sub_region_1,Apr 2020,Apr 2021,Aug 2020,Aug 2021,Dec 2020,Feb 2020,Feb 2021,Jan 2021,Jul 2020,Jul 2021,Jun 2020,Jun 2021,Mar 2020,Mar 2021,May 2020,May 2021,Nov 2020,Nov 2021,Oct 2020,Oct 2021,Sep 2020,Sep 2021
Oklahoma,-34.11542497376705,-14.522975929978118,-22.280172413793103,-18.93441762854145,-24.91745036572623,0.16535433070866143,-26.46064139941691,-19.344901227976507,-25.59142561983471,-22.44328280188186,-21.49892008639309,-20.488948787061993,-13.776898734177216,-16.573298429319372,-25.52463312368973,-17.825388323513657,-21.982513661202187,-18.197716346153847,-18.64957716701903,-13.30670926517572,-18.788475565280816,-16.56688241639698
Oregon,-38.290650406504064,-20.118488253319715,-25.639473684210525,-22.73313492063492,-29.541501976284586,-0.13070539419087138,-24.594298245614034,-26.005964214711728,-26.491609081934847,-23.01592039800995,-24.266598569969357,-20.84560327198364,-16.999007936507937,-22.3629191321499,-30.82025819265144,-20.012974051896208,-26.312563840653727,-21.730464326160817,-20.31113320079523,-17.04278606965174,-25.76951219512195,-22.13803680981595
Pennsylvania,-42.526985743380855,-19.86042944785276,-25.057317073170733,-20.153313550939664,-30.981737413622902,0.7321613236814891,-22.980853391684903,-24.097029702970296,-26.704837117472852,-22.66304347826087,-23.868609406952967,-20.57719836400818,-17.919980119284293,-18.38274665344571,-32.24195942602672,-19.16575682382134,-23.849308047155304,-18.83200908059024,-18.68880079286422,-14.336967294350842,-23.09385863267671,-19.357690342360755
Rhode Island,-47.26111111111111,-26.233333333333334,-27.161490683229815,-25.865591397849464,-34.946236559139784,-1.8555555555555556,-29.416666666666668,-30.21505376344086,-29.827956989247312,-27.086021505376344,-28.95,-22.41111111111111,-19.365591397849464,-25.446236559139784,-37.96774193548387,-23.897849462365592,-28.055555555555557,-24.358024691358025,-23.198924731182796,-20.053763440860216,-26.457831325301203,-23.3
South Carolina,-34.78992805755396,-19.26801152737752,-23.87300094073377,-18.95667365478686,-25.282122905027933,0.03074670571010249,-18.97138437741686,-22.550349650349652,-26.47284122562674,-22.620641562064158,-21.4378612716763,-18.30808080808081,-11.645365168539326,-17.300069783670622,-26.110566829951015,-17.759272218334498,-21.609985528219973,-18.56661316211878,-18.21184668989547,-14.251576734407848,-21.960069444444443,-18.889689978370583
South Dakota,-34.02125147579693,-14.331151832460733,-20.64785553047404,-17.742537313432837,-23.143727161997564,-2.039274924471299,-15.756569847856156,-17.14248366013072,-24.42755344418052,-20.7665418227216,-22.011180124223603,-20.353960396039604,-14.325974025974025,-14.495037220843672,-28.238271604938273,-16.619109947643977,-22.114732724902215,-17.43002915451895,-17.150753768844222,-11.859973579920739,-17.632058287795992,-15.582010582010582
Tennessee,-35.170984455958546,-15.149564558879213,-21.07730535615682,-16.305178112376055,-24.348617176128094,0.57265625,-21.4239837398374,-19.11569638909359,-24.529645697758497,-20.235766423357664,-20.15114104002993,-17.848793363499247,-12.50718761518614,-14.830651060716898,-25.20255009107468,-16.370055452865063,-20.08695652173913,-15.730526315789474,-17.08021978021978,-13.690862196020634,-18.614825581395348,-16.44809362023405
Texas,-33.48664741970408,-18.949707388441844,-26.680358083201686,-22.93423391397085,-26.60270602706027,0.4776176024279211,-28.16349362119725,-22.423510466988727,-29.349456712232737,-26.587550696526186,-23.377582739074786,-24.464097436829668,-14.929289303661163,-19.91400881057269,-25.729826444802292,-19.413117699910153,-24.190940894862823,-20.95333739095151,-20.074317133735367,-15.730355220667384,-22.431139122315592,-20.180262199563
Utah,-38.46098265895954,-18.814868804664723,-27.012345679012345,-22.285106382978725,-26.698591549295774,-1.652694610778443,-17.849056603773583,-21.15251798561151,-29.353023909985936,-25.804255319148936,-25.918367346938776,-24.805232558139537,-16.476394849785407,-17.41068917018284,-30.78757225433526,-18.56896551724138,-23.749262536873157,-18.95169082125604,-19.32528409090909,-16.217453505007153,-21.98715596330275,-18.632801161103046
Vermont,-48.25115207373272,-25.565947242206235,-27.8978102189781,-27.53146853146853,-27.246511627906976,-4.188405797101449,-24.719072164948454,-24.685579196217493,-29.64367816091954,-30.374712643678162,-28.40855106888361,-27.48095238095238,-19.87327188940092,-22.983606557377048,-38.26923076923077,-25.971764705882354,-24.2953995157385,-27.131720430107528,-19.04225352112676,-22.089622641509433,-22.161392405063292,-25.089805825242717
Virginia,-38.379834254143645,-22.01284916201117,-28.21964586846543,-21.411283728536386,-29.579557713052857,-0.06483644859813084,-26.604727707959306,-26.954868708971553,-29.536585365853657,-24.396257119609437,-27.136198716159644,-21.646943901758302,-15.225185592521308,-21.02245670995671,-32.642700929469655,-20.977404243593277,-25.672511312217196,-20.601560062402495,-22.110929853181077,-15.338043779440287,-25.475912408759125,-20.364804469273743
Washington,-42.919444444444444,-23.278564683663834,-28.49482163406214,-23.888990825688072,-30.73049001814882,-1.2457142857142858,-26.966565349544073,-27.493589743589745,-29.30399274047187,-25.309872029250457,-26.754948162111216,-22.074669187145556,-19.24203821656051,-22.982632541133455,-34.02810516772439,-21.589696412143514,-27.12570888468809,-22.38100208768267,-22.80128205128205,-16.72099447513812,-27.401950162513543,-22.22117202268431
West Virginia,-36.97498104624716,-16.672941176470587,-23.61372299872935,-20.363290175171365,-26.15487714072971,0.21639344262295082,-22.390611902766135,-22.587471352177236,-25.419955323901714,-22.656367746797287,-22.015515903801397,-21.611627906976743,-14.49272030651341,-16.155068078668684,-28.12033511043412,-16.958171959721145,-22.831118060985144,-20.247404844290656,-16.937547600913938,-14.126640926640926,-19.738478027867096,-18.935358255451714
Wisconsin,-36.53217223028544,-15.223587223587224,-20.295409181636728,-15.685016754427956,-23.075865339023235,1.5044776119402985,-16.234020073956682,-18.248322147651006,-22.145912547528518,-19.184498335710888,-19.571499013806704,-17.207639569049952,-14.201332698714898,-15.113064133016627,-28.60342368045649,-14.937049495434888,-22.35014836795252,-17.537915984724496,-16.14272030651341,-10.963443963443963,-18.758745476477685,-15.362026561731431
Wyoming,-33.25,-16.67986230636833,-20.464912280701753,-22.11111111111111,-23.28855721393035,-0.49640287769784175,-15.584415584415584,-16.90394511149228,-22.564059900166388,-24.540495867768595,-19.43127147766323,-24.649241146711635,-14.882747068676716,-17.88685524126456,-25.006745362563237,-18.576791808873722,-21.773684210526316,-21.900952380952383,-15.396933560477002,-17.86846543001686,-16.81578947368421,-20.244897959183675
