,year,month,state_name,population,date,consumption,scaled_consumption
942,2020,8,Hawaii,1455271,August 2020,142023.63636363635,0.09759256960637322
991,2020,9,Hawaii,1455271,September 2020,138315.81818181818,0.09504471550784574
1040,2020,10,Hawaii,1455271,October 2020,150943.27272727274,0.1037217622884485
1089,2020,11,Hawaii,1455271,November 2020,141825.45454545456,0.09745638753569236
1138,2020,12,Hawaii,1455271,December 2020,142147.0909090909,0.09767740229076984
1187,2021,1,Hawaii,1455271,January 2021,137696.27272727274,0.09461899036486864
1236,2021,2,Hawaii,1455271,February 2021,119326.90909090909,0.08199634919606663
1285,2021,3,Hawaii,1455271,March 2021,133888.0909090909,0.09200217066724405
1334,2021,4,Hawaii,1455271,April 2021,128660.0,0.08840965016137887
1383,2021,5,Hawaii,1455271,May 2021,139624.27272727274,0.09594382951853829
1432,2021,6,Hawaii,1455271,June 2021,141353.81818181818,0.09713229919500779
1481,2021,7,Hawaii,1455271,July 2021,147285.45454545456,0.10120826605179005
1530,2021,8,Hawaii,1455271,August 2021,150335.18181818182,0.10330390821928137
1579,2021,9,Hawaii,1455271,September 2021,143500.54545454544,0.09860743837714449
47,2019,1,West Virginia,1793716,January 2019,1510572.6666666667,0.8421470660163966
96,2019,2,West Virginia,1793716,February 2019,1073936.4444444445,0.5987215615205776
145,2019,3,West Virginia,1793716,March 2019,1041117.8888888889,0.5804251558713246
194,2019,4,West Virginia,1793716,April 2019,924049.2222222222,0.5151591568688813
243,2019,5,West Virginia,1793716,May 2019,1231567.2222222222,0.6866010127702614
292,2019,6,West Virginia,1793716,June 2019,1226180.0,0.6835976263800958
341,2019,7,West Virginia,1793716,July 2019,1567438.2222222222,0.8738497188084525
390,2019,8,West Virginia,1793716,August 2019,1356093.6666666667,0.75602473672904
439,2019,9,West Virginia,1793716,September 2019,1155005.0,0.6439174317450477
488,2019,10,West Virginia,1793716,October 2019,968612.8888888889,0.5400034837671565
537,2019,11,West Virginia,1793716,November 2019,1102985.5555555555,0.6149164948941502
586,2019,12,West Virginia,1793716,December 2019,1048139.0,0.5843394383503298
635,2020,1,West Virginia,1793716,January 2020,928712.0,0.5177586641363515
684,2020,2,West Virginia,1793716,February 2020,1094731.4444444445,0.6103148126261039
733,2020,3,West Virginia,1793716,March 2020,870406.5555555555,0.48525327061561335
782,2020,4,West Virginia,1793716,April 2020,763681.8888888889,0.4257540708166114
831,2020,5,West Virginia,1793716,May 2020,1099145.0,0.6127753780420089
880,2020,6,West Virginia,1793716,June 2020,1107281.7777777778,0.6173116467588948
929,2020,7,West Virginia,1793716,July 2020,1460370.888888889,0.8141594817066297
978,2020,8,West Virginia,1793716,August 2020,1383440.7777777778,0.7712708019428816
1027,2020,9,West Virginia,1793716,September 2020,941420.5555555555,0.524843707451768
1076,2020,10,West Virginia,1793716,October 2020,881068.4444444445,0.49119729346476504
1125,2020,11,West Virginia,1793716,November 2020,884865.1111111111,0.4933139421798719
1174,2020,12,West Virginia,1793716,December 2020,1176327.3333333333,0.6558046721628916
1223,2021,1,West Virginia,1793716,January 2021,1422434.4444444445,0.7930098435005567
1272,2021,2,West Virginia,1793716,February 2021,1479118.6666666667,0.8246114026226374
1321,2021,3,West Virginia,1793716,March 2021,1006912.1111111111,0.5613553712578307
1370,2021,4,West Virginia,1793716,April 2021,916054.2222222222,0.5107019295263142
1419,2021,5,West Virginia,1793716,May 2021,1181792.5555555555,0.6588515436978627
1468,2021,6,West Virginia,1793716,June 2021,1525704.2222222222,0.8505829363300669
1517,2021,7,West Virginia,1793716,July 2021,1564842.6666666667,0.8724026917676303
1566,2021,8,West Virginia,1793716,August 2021,1600477.0,0.8922688987554328
